2026-01-13 21:15:33,563 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-01-13 21:15:33,576 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-01-13 21:15:33,578 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-01-13 21:15:33,579 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-01-13 21:15:33,579 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-01-13 21:15:33,580 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-01-13 21:15:33,580 INFO  SwAddin.cs: 201 - Setting up command manager
2026-01-13 21:15:33,581 INFO  SwAddin.cs: 204 - Adding command manager
2026-01-13 21:15:33,583 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-01-13 21:15:33,585 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-01-13 21:15:33,585 INFO  SwAddin.cs: 210 - Adding event handlers
2026-01-13 21:15:33,595 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-01-13 21:15:55,841 INFO  SwAddin.cs: 294 - Assembly export called for file 装配体.SLDASM
2026-01-13 21:15:58,210 INFO  SwAddin.cs: 313 - Saving assembly
2026-01-13 21:15:58,289 INFO  SwAddin.cs: 316 - Opening property manager
2026-01-13 21:15:58,295 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 装配体.SLDASM
2026-01-13 21:15:58,297 INFO  ExportHelperExtension.cs: 1136 - Found 55 in 装配体.SLDASM
2026-01-13 21:15:58,297 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 装配体.SLDASM
2026-01-13 21:15:58,298 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-01-13 21:15:58,298 INFO  ExportHelperExtension.cs: 1160 - 8 components to check
2026-01-13 21:15:58,299 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Link1-1
